TransactionID,CustomerID,BranchName,City,TransactionType,Amount,Date,Status,FailureReason
TXN21070,CUST3177,Indiranagar,Bangalore,Withdrawal,50215.6,2024-10-13,FAIL,Limit Exceeded
TXN17946,CUST4829,Indiranagar,Bangalore,Transfer,93308.2,2024-07-02,FAIL,Account Closed
TXN28286,CUST5670,Indiranagar,Bangalore,Deposit,28233.35,2024-06-30,Failed,Limit Exceeded
TXN74783,CUST8107,Indiranagar,Bangalore,Deposit,91409.25,2024-10-08,Failed,Technical Error
TXN18087,CUST7833,Indiranagar,Bangalore,Transfer,46347.45,2024-06-05,FAIL,Network Issue
TXN10742,CUST8381,Indiranagar,Bangalore,Withdrawal,83518.21,2024-07-15,FAIL,Insufficient Funds
TXN16383,CUST9663,Indiranagar,Bangalore,Transfer,85498.46,2024-09-19,Failed,Technical Error
TXN35086,CUST3147,Indiranagar,Bangalore,Transfer,389.28,2024-09-14,Failed,Account Closed
TXN11107,CUST4066,Indiranagar,Bangalore,Withdrawal,87638.94,2025-02-18,FAIL,Technical Error
TXN10750,CUST2362,Indiranagar,Bangalore,Withdrawal,9675.51,2025-04-22,Failed,Account Closed
TXN65526,CUST3110,Indiranagar,Bangalore,Deposit,1806.84,2024-12-08,Failed,Limit Exceeded
TXN19313,CUST9481,Indiranagar,Bangalore,Withdrawal,50297.07,2025-02-23,Failed,Account Closed
TXN26974,CUST6031,Indiranagar,Bangalore,Deposit,26770.36,2025-02-14,Failed,Insufficient Funds
TXN81180,CUST1842,Indiranagar,Bangalore,Withdrawal,97709.27,2024-09-06,FAIL,Network Issue
TXN36711,CUST2786,Indiranagar,Bangalore,Deposit,24677.15,2024-07-11,FAIL,Network Issue
TXN35502,CUST2408,Indiranagar,Bangalore,Transfer,50220.3,2025-01-10,Failed,Network Issue
TXN92603,CUST6112,Indiranagar,Bangalore,Transfer,15308.75,2024-07-28,Failed,Account Closed
TXN59174,CUST5291,Indiranagar,Bangalore,Transfer,10604.38,2025-03-28,Failed,Network Issue
TXN32362,CUST8204,Indiranagar,Bangalore,Transfer,31087.69,2025-04-23,FAIL,Technical Error
TXN84462,CUST3421,Indiranagar,Bangalore,Transfer,61667.52,2024-10-25,Failed,Insufficient Funds
TXN34230,CUST6182,Indiranagar,Bangalore,Withdrawal,50845.89,2024-11-27,FAIL,Insufficient Funds
TXN64905,CUST3876,Indiranagar,Bangalore,Withdrawal,85096.49,2024-10-07,Failed,Account Closed
TXN38113,CUST9773,Indiranagar,Bangalore,Deposit,77080.06,2024-09-05,Failed,Account Closed
TXN22239,CUST8167,Indiranagar,Bangalore,Transfer,36801.62,2025-02-22,FAIL,Account Closed
TXN18276,CUST9649,Indiranagar,Bangalore,Deposit,54430.22,2024-12-13,Failed,Insufficient Funds
TXN77587,CUST7313,Indiranagar,Bangalore,Deposit,58016.43,2025-02-06,Failed,Technical Error
TXN22446,CUST5395,Indiranagar,Bangalore,Deposit,11671.19,2024-07-24,Failed,Limit Exceeded
TXN64386,CUST5989,Indiranagar,Bangalore,Transfer,89342.57,2025-03-26,Failed,Technical Error
TXN30012,CUST3044,Indiranagar,Bangalore,Transfer,88197.57,2024-07-21,FAIL,Technical Error
TXN56636,CUST4712,Indiranagar,Bangalore,Transfer,30800.92,2024-06-22,Failed,Technical Error
TXN16212,CUST7484,Indiranagar,Bangalore,Transfer,42787.8,2024-05-28,Failed,Account Closed
TXN92723,CUST4392,Indiranagar,Bangalore,Transfer,95442.69,2025-03-14,FAIL,Network Issue
TXN58268,CUST2465,Indiranagar,Bangalore,Transfer,63709.97,2025-04-21,Failed,Account Closed
TXN60040,CUST6998,Indiranagar,Bangalore,Transfer,63430.2,2024-12-30,FAIL,Limit Exceeded
TXN67383,CUST9910,Indiranagar,Bangalore,Transfer,78334.26,2024-07-13,FAIL,Technical Error
TXN65825,CUST3310,Indiranagar,Bangalore,Transfer,12813.29,2025-03-09,FAIL,Account Closed
TXN43970,CUST5175,Indiranagar,Bangalore,Transfer,25161.0,2025-04-08,Failed,Network Issue
TXN82556,CUST3731,Indiranagar,Bangalore,Transfer,48049.09,2024-07-10,FAIL,Account Closed
TXN81217,CUST4148,Indiranagar,Bangalore,Withdrawal,55330.06,2024-05-17,FAIL,Network Issue
