 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN66421 ,CUST2715,Koramangala ,Bangalore,Transfer,19557.86,2025-01-06,FAIL,Limit Exceeded
 TXN24275 ,CUST5581,Koramangala ,Bangalore,Withdrawal,85723.76,2025-03-08,success,
 TXN83708 ,CUST2977,Koramangala ,Bangalore,Transfer,67765.87,2024-08-28,pending,
 TXN79631 ,CUST2335,Koramangala ,Bangalore,Transfer,22770.45,2024-12-05,Pending,
 TXN54130 ,CUST1111,Koramangala ,Bangalore,Transfer,31812.69,2024-12-09,pending,
 TXN78213 ,CUST4099,Koramangala ,Bangalore,Transfer,18367.08,2025-03-05,success,
 TXN14105 ,CUST9314,Koramangala ,Bangalore,Transfer,1390.31,2025-03-15,success,
 TXN19042 ,CUST3821,Koramangala ,Bangalore,Deposit,49956.69,2025-02-24,Success,
 TXN76826 ,CUST1055,Koramangala ,Bangalore,Withdrawal,17222.16,2024-08-26,Failed,Account Closed
 TXN65542 ,CUST8361,Koramangala ,Bangalore,Transfer,9287.66,2024-09-06,Pending,
 TXN17358 ,CUST7817,Koramangala ,Bangalore,Withdrawal,53853.56,2024-12-10,Pending,
 TXN34783 ,CUST5540,Koramangala ,Bangalore,Transfer,26081.65,2024-06-16,pending,
 TXN94575 ,CUST8897,Koramangala ,Bangalore,Transfer,19222.54,2025-02-07,success,
 TXN53458 ,CUST4640,Koramangala ,Bangalore,Transfer,42020.7,2024-08-20,pending,
 TXN79220 ,CUST1273,Koramangala ,Bangalore,Deposit,27493.09,2024-06-16,success,
 TXN63031 ,CUST8076,Koramangala ,Bangalore,Transfer,92783.31,2024-05-21,Success,
 TXN49194 ,CUST4225,Koramangala ,Bangalore,Transfer,50846.09,2024-09-21,FAIL,Network Issue
 TXN81004 ,CUST3489,Koramangala ,Bangalore,Withdrawal,72003.12,2024-12-26,pending,
 TXN93276 ,CUST3937,Koramangala ,Bangalore,Withdrawal,80762.93,2024-12-30,Success,
 TXN55890 ,CUST8948,Koramangala ,Bangalore,Deposit,10723.79,2024-11-12,Pending,
 TXN30492 ,CUST7018,Koramangala ,Bangalore,Deposit,46623.0,2025-01-27,Failed,Network Issue
 TXN47238 ,CUST7250,Koramangala ,Bangalore,Transfer,12470.67,2024-06-30,Success,
 TXN56829 ,CUST6342,Koramangala ,Bangalore,Withdrawal,43713.85,2024-08-11,pending,
 TXN85485 ,CUST3960,Koramangala ,Bangalore,Transfer,15503.38,2024-11-15,success,
 TXN61901 ,CUST9949,Koramangala ,Bangalore,Withdrawal,21369.53,2024-09-27,Pending,
 TXN18290 ,CUST2597,Koramangala ,Bangalore,Deposit,71282.26,2025-05-01,pending,
 TXN68802 ,CUST2775,Koramangala ,Bangalore,Transfer,53465.36,2024-05-09,FAIL,Network Issue
 TXN86642 ,CUST8882,Koramangala ,Bangalore,Transfer,74963.81,2025-03-27,Failed,Technical Error
 TXN30286 ,CUST8850,Koramangala ,Bangalore,Deposit,80514.55,2025-02-12,success,
 TXN48035 ,CUST3094,Koramangala ,Bangalore,Transfer,28649.81,2024-11-20,Failed,Account Closed
 TXN80683 ,CUST6933,Koramangala ,Bangalore,Deposit,84337.19,2025-04-30,Success,
 TXN78247 ,CUST3835,Koramangala ,Bangalore,Withdrawal,10073.11,2025-01-16,pending,
 TXN77007 ,CUST5589,Koramangala ,Bangalore,Withdrawal,28196.46,2024-11-11,FAIL,Account Closed
 TXN96856 ,CUST3989,Koramangala ,Bangalore,Withdrawal,24375.19,2024-05-28,Failed,Insufficient Funds
 TXN81751 ,CUST6293,Koramangala ,Bangalore,Deposit,79516.1,2025-02-18,Success,
 TXN87282 ,CUST5883,Koramangala ,Bangalore,Transfer,95125.48,2025-04-19,FAIL,Insufficient Funds
 TXN58104 ,CUST5711,Koramangala ,Bangalore,Deposit,60692.48,2025-01-02,FAIL,Account Closed
 TXN48065 ,CUST4259,Koramangala ,Bangalore,Transfer,19597.32,2024-08-12,Success,
 TXN40345 ,CUST6182,Koramangala ,Bangalore,Transfer,85835.2,2025-03-05,success,
 TXN55127 ,CUST2974,Koramangala ,Bangalore,Withdrawal,73525.32,2024-06-10,Failed,Network Issue
 TXN99102 ,CUST6692,Koramangala ,Bangalore,Withdrawal,55296.73,2024-12-07,pending,
 TXN12252 ,CUST8451,Koramangala ,Bangalore,Withdrawal,85185.01,2025-01-06,Pending,
 TXN73220 ,CUST3569,Koramangala ,Bangalore,Withdrawal,3968.59,2024-10-29,Success,
 TXN75505 ,CUST6967,Koramangala ,Bangalore,Withdrawal,13317.97,2024-06-29,FAIL,Account Closed
 TXN42537 ,CUST9182,Koramangala ,Bangalore,Transfer,70390.43,2024-09-08,Pending,
 TXN63994 ,CUST4897,Koramangala ,Bangalore,Withdrawal,93650.6,2024-06-02,Pending,
 TXN69349 ,CUST5325,Koramangala ,Bangalore,Transfer,29778.8,2024-07-09,Pending,
 TXN79485 ,CUST9120,Koramangala ,Bangalore,Deposit,2067.69,2024-07-06,Success,
 TXN22611 ,CUST8369,Koramangala ,Bangalore,Deposit,24019.26,2025-02-07,success,
 TXN30072 ,CUST6250,Koramangala ,Bangalore,Deposit,31114.26,2024-10-09,pending,
 TXN40062 ,CUST2230,Koramangala ,Bangalore,Withdrawal,59442.18,2024-05-29,FAIL,Technical Error
 TXN14219 ,CUST2014,Koramangala ,Bangalore,Transfer,75483.06,2025-05-07,Failed,Limit Exceeded
 TXN43294 ,CUST6553,Koramangala ,Bangalore,Withdrawal,41502.14,2024-12-26,Pending,
 TXN99142 ,CUST9610,Koramangala ,Bangalore,Transfer,85509.27,2025-02-06,success,
 TXN24648 ,CUST6392,Koramangala ,Bangalore,Transfer,74936.09,2025-05-07,FAIL,Limit Exceeded
