 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN22101 ,CUST2814,Anna Nagar ,Chennai,Transfer,57710.62,2025-04-14,Success,
 TXN41432 ,CUST1512,Anna Nagar ,Chennai,Deposit,67104.51,2024-09-18,success,
 TXN56581 ,CUST7486,Anna Nagar ,Chennai,Deposit,29740.09,2024-08-26,Success,
 TXN94563 ,CUST7414,Anna Nagar ,Chennai,Withdrawal,80011.96,2024-09-21,Success,
 TXN28894 ,CUST9968,Anna Nagar ,Chennai,Deposit,56513.95,2024-12-28,FAIL,Account Closed
 TXN81726 ,CUST1434,Anna Nagar ,Chennai,Transfer,43606.5,2024-12-10,Failed,Account Closed
 TXN42110 ,CUST1223,Anna Nagar ,Chennai,Transfer,27565.37,2024-07-05,Failed,Network Issue
 TXN71932 ,CUST5753,Anna Nagar ,Chennai,Withdrawal,74046.85,2024-06-02,Failed,Account Closed
 TXN57365 ,CUST9922,Anna Nagar ,Chennai,Withdrawal,88022.41,2024-08-15,pending,
 TXN88005 ,CUST2971,Anna Nagar ,Chennai,Withdrawal,86491.02,2025-04-09,success,
 TXN36140 ,CUST7501,Anna Nagar ,Chennai,Withdrawal,794.34,2025-03-06,pending,
 TXN80627 ,CUST7328,Anna Nagar ,Chennai,Withdrawal,37180.79,2024-09-14,pending,
 TXN14110 ,CUST2931,Anna Nagar ,Chennai,Transfer,48118.88,2025-01-18,Failed,Network Issue
 TXN61853 ,CUST1048,Anna Nagar ,Chennai,Deposit,94538.53,2025-04-08,Pending,
 TXN71623 ,CUST3179,Anna Nagar ,Chennai,Deposit,59623.66,2024-08-01,pending,
 TXN46072 ,CUST8222,Anna Nagar ,Chennai,Transfer,50841.73,2024-06-09,FAIL,Insufficient Funds
 TXN13679 ,CUST3706,Anna Nagar ,Chennai,Withdrawal,88666.88,2024-09-27,Success,
 TXN44293 ,CUST6738,Anna Nagar ,Chennai,Deposit,41736.08,2025-04-23,Failed,Network Issue
 TXN13253 ,CUST2937,Anna Nagar ,Chennai,Withdrawal,64986.97,2024-07-27,Success,
 TXN45837 ,CUST8855,Anna Nagar ,Chennai,Transfer,86998.43,2024-08-26,pending,
 TXN15134 ,CUST4266,Anna Nagar ,Chennai,Withdrawal,82756.93,2024-12-04,Success,
 TXN87744 ,CUST9519,Anna Nagar ,Chennai,Deposit,14584.09,2024-08-30,FAIL,Limit Exceeded
 TXN95104 ,CUST7656,Anna Nagar ,Chennai,Deposit,7007.48,2025-05-02,Pending,
 TXN53160 ,CUST9498,Anna Nagar ,Chennai,Deposit,83083.68,2024-07-06,pending,
 TXN63028 ,CUST6987,Anna Nagar ,Chennai,Deposit,79808.42,2025-04-08,FAIL,Limit Exceeded
 TXN45253 ,CUST9243,Anna Nagar ,Chennai,Deposit,26886.49,2024-05-10,success,
 TXN42391 ,CUST3634,Anna Nagar ,Chennai,Withdrawal,49431.69,2025-03-02,Pending,
 TXN95387 ,CUST5184,Anna Nagar ,Chennai,Withdrawal,50010.27,2024-06-09,FAIL,Insufficient Funds
 TXN79238 ,CUST1065,Anna Nagar ,Chennai,Transfer,16071.24,2025-04-08,Failed,Account Closed
 TXN22945 ,CUST3734,Anna Nagar ,Chennai,Deposit,2388.81,2025-01-12,Failed,Limit Exceeded
 TXN93684 ,CUST8052,Anna Nagar ,Chennai,Transfer,98274.79,2024-10-28,FAIL,Network Issue
 TXN84983 ,CUST4352,Anna Nagar ,Chennai,Transfer,23792.98,2024-06-26,Success,
 TXN98581 ,CUST4113,Anna Nagar ,Chennai,Deposit,45336.37,2025-03-22,Failed,Account Closed
 TXN21040 ,CUST4514,Anna Nagar ,Chennai,Transfer,71333.82,2024-05-31,Success,
 TXN57548 ,CUST6016,Anna Nagar ,Chennai,Transfer,27663.7,2024-05-31,Success,
 TXN63515 ,CUST2037,Anna Nagar ,Chennai,Transfer,44693.09,2025-02-24,Success,
 TXN36777 ,CUST1480,Anna Nagar ,Chennai,Withdrawal,49190.39,2025-02-21,Failed,Account Closed
 TXN19007 ,CUST7702,Anna Nagar ,Chennai,Deposit,97195.44,2025-04-01,pending,
 TXN99748 ,CUST1205,Anna Nagar ,Chennai,Deposit,53571.4,2024-10-20,pending,
 TXN14664 ,CUST8399,Anna Nagar ,Chennai,Deposit,53958.13,2025-03-18,pending,
 TXN73168 ,CUST7851,Anna Nagar ,Chennai,Deposit,73015.86,2024-08-16,Success,
 TXN93303 ,CUST3193,Anna Nagar ,Chennai,Withdrawal,95053.76,2024-12-26,Failed,Network Issue
 TXN30276 ,CUST7497,Anna Nagar ,Chennai,Deposit,23184.05,2024-11-19,Success,
