 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN41086 ,CUST4043,Mylapore ,Chennai,Deposit,52111.29,2024-06-01,Success,
 TXN35998 ,CUST9061,Mylapore ,Chennai,Withdrawal,44797.42,2024-10-19,Failed,Network Issue
 TXN81206 ,CUST1254,Mylapore ,Chennai,Transfer,50375.98,2025-03-20,FAIL,Limit Exceeded
 TXN36217 ,CUST8970,Mylapore ,Chennai,Withdrawal,20376.23,2024-09-28,Failed,Technical Error
 TXN12723 ,CUST2624,Mylapore ,Chennai,Withdrawal,40965.84,2024-08-10,Pending,
 TXN78910 ,CUST9251,Mylapore ,Chennai,Transfer,87798.07,2025-03-26,success,
 TXN10966 ,CUST8845,Mylapore ,Chennai,Transfer,12392.61,2024-09-17,Success,
 TXN13500 ,CUST6275,Mylapore ,Chennai,Withdrawal,50045.17,2025-02-19,Failed,Insufficient Funds
 TXN86172 ,CUST9784,Mylapore ,Chennai,Transfer,41542.63,2024-08-29,Success,
 TXN53711 ,CUST1279,Mylapore ,Chennai,Transfer,33798.13,2025-03-17,FAIL,Network Issue
 TXN52836 ,CUST6288,Mylapore ,Chennai,Withdrawal,621.34,2025-01-10,pending,
 TXN29870 ,CUST4706,Mylapore ,Chennai,Withdrawal,34004.42,2025-01-31,Success,
 TXN51407 ,CUST4553,Mylapore ,Chennai,Transfer,6244.16,2025-03-06,pending,
 TXN25696 ,CUST8510,Mylapore ,Chennai,Transfer,44623.08,2025-05-05,Pending,
 TXN56801 ,CUST4522,Mylapore ,Chennai,Withdrawal,83951.96,2024-12-14,FAIL,Limit Exceeded
 TXN73977 ,CUST3854,Mylapore ,Chennai,Deposit,80027.33,2024-12-27,Pending,
 TXN60391 ,CUST8219,Mylapore ,Chennai,Withdrawal,81664.43,2025-02-10,FAIL,Network Issue
 TXN92977 ,CUST3951,Mylapore ,Chennai,Withdrawal,78453.64,2024-05-30,Failed,Technical Error
 TXN30602 ,CUST9264,Mylapore ,Chennai,Deposit,86967.19,2025-04-19,Pending,
 TXN82732 ,CUST3720,Mylapore ,Chennai,Deposit,53124.04,2024-08-05,pending,
 TXN12294 ,CUST3036,Mylapore ,Chennai,Deposit,26269.98,2024-06-30,FAIL,Insufficient Funds
 TXN83505 ,CUST3106,Mylapore ,Chennai,Withdrawal,95087.88,2025-05-04,Success,
 TXN33490 ,CUST1805,Mylapore ,Chennai,Transfer,26895.34,2024-07-08,Failed,Account Closed
 TXN18560 ,CUST1339,Mylapore ,Chennai,Withdrawal,55103.13,2024-10-13,Success,
 TXN91285 ,CUST5152,Mylapore ,Chennai,Transfer,56732.22,2025-03-20,Success,
 TXN17182 ,CUST9076,Mylapore ,Chennai,Transfer,32833.74,2024-11-25,Pending,
 TXN48948 ,CUST6925,Mylapore ,Chennai,Withdrawal,37717.03,2024-08-19,pending,
 TXN51025 ,CUST9103,Mylapore ,Chennai,Withdrawal,61405.74,2024-10-16,success,
 TXN17255 ,CUST8434,Mylapore ,Chennai,Deposit,6405.21,2024-11-22,FAIL,Technical Error
 TXN68500 ,CUST5665,Mylapore ,Chennai,Transfer,26644.75,2024-09-26,success,
 TXN98269 ,CUST2194,Mylapore ,Chennai,Transfer,64466.54,2024-10-30,Pending,
 TXN47410 ,CUST5395,Mylapore ,Chennai,Withdrawal,20901.41,2024-12-25,pending,
 TXN85220 ,CUST4781,Mylapore ,Chennai,Withdrawal,63725.43,2024-08-13,Failed,Account Closed
 TXN53046 ,CUST6637,Mylapore ,Chennai,Deposit,13181.83,2024-11-20,Pending,
 TXN83712 ,CUST7559,Mylapore ,Chennai,Transfer,90676.44,2025-01-12,pending,
 TXN17933 ,CUST4920,Mylapore ,Chennai,Withdrawal,35013.66,2024-11-13,Failed,Insufficient Funds
 TXN67694 ,CUST5030,Mylapore ,Chennai,Withdrawal,58553.44,2024-07-17,Success,
 TXN51111 ,CUST4527,Mylapore ,Chennai,Transfer,96685.57,2025-01-10,success,
 TXN77003 ,CUST6636,Mylapore ,Chennai,Transfer,82306.96,2024-11-26,success,
 TXN34329 ,CUST2772,Mylapore ,Chennai,Withdrawal,78265.21,2024-11-27,success,
 TXN22699 ,CUST1066,Mylapore ,Chennai,Deposit,21163.65,2024-11-08,Pending,
 TXN57104 ,CUST5297,Mylapore ,Chennai,Transfer,63264.06,2025-02-14,Pending,
 TXN28776 ,CUST1931,Mylapore ,Chennai,Deposit,44246.15,2024-05-30,Pending,
 TXN33239 ,CUST8399,Mylapore ,Chennai,Deposit,73727.59,2024-07-02,Success,
