 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN54837 ,CUST7091,Velachery ,Chennai,Deposit,49850.64,2024-05-16,Failed,Network Issue
 TXN15323 ,CUST1434,Velachery ,Chennai,Transfer,65498.61,2025-03-07,success,
 TXN11810 ,CUST9036,Velachery ,Chennai,Transfer,8574.29,2025-03-31,pending,
 TXN42324 ,CUST6105,Velachery ,Chennai,Transfer,43690.17,2025-03-28,pending,
 TXN32133 ,CUST8068,Velachery ,Chennai,Transfer,29421.85,2024-07-08,pending,
 TXN12113 ,CUST7361,Velachery ,Chennai,Deposit,19597.2,2024-12-10,pending,
 TXN47525 ,CUST5458,Velachery ,Chennai,Deposit,83639.49,2024-12-04,success,
 TXN15320 ,CUST7694,Velachery ,Chennai,Withdrawal,69991.9,2025-03-18,pending,
 TXN98236 ,CUST9061,Velachery ,Chennai,Withdrawal,93588.99,2024-06-01,Pending,
 TXN35331 ,CUST6340,Velachery ,Chennai,Withdrawal,72002.18,2024-06-17,Pending,
 TXN72113 ,CUST7506,Velachery ,Chennai,Transfer,28715.58,2024-10-12,pending,
 TXN25154 ,CUST1016,Velachery ,Chennai,Transfer,15371.91,2025-05-08,Failed,Account Closed
 TXN66839 ,CUST8842,Velachery ,Chennai,Deposit,85604.24,2025-04-15,success,
 TXN43216 ,CUST1757,Velachery ,Chennai,Transfer,60525.7,2024-12-17,Pending,
 TXN28482 ,CUST5189,Velachery ,Chennai,Deposit,58017.26,2024-11-07,success,
 TXN25125 ,CUST9870,Velachery ,Chennai,Transfer,75308.55,2025-04-21,pending,
 TXN58433 ,CUST2436,Velachery ,Chennai,Withdrawal,34938.22,2024-07-29,Failed,Network Issue
 TXN18554 ,CUST2940,Velachery ,Chennai,Deposit,42913.27,2025-04-10,pending,
 TXN57610 ,CUST5879,Velachery ,Chennai,Transfer,81453.7,2024-11-25,Failed,Limit Exceeded
 TXN90983 ,CUST4700,Velachery ,Chennai,Transfer,14947.89,2024-08-11,pending,
 TXN59012 ,CUST2986,Velachery ,Chennai,Deposit,65769.8,2024-12-17,FAIL,Limit Exceeded
 TXN47922 ,CUST8253,Velachery ,Chennai,Transfer,63876.31,2025-03-20,Success,
 TXN26294 ,CUST1889,Velachery ,Chennai,Deposit,61789.74,2025-02-22,Success,
 TXN29428 ,CUST4768,Velachery ,Chennai,Transfer,33375.54,2025-04-09,success,
 TXN40255 ,CUST3203,Velachery ,Chennai,Deposit,10677.94,2024-07-18,Pending,
 TXN67713 ,CUST3657,Velachery ,Chennai,Transfer,57949.16,2024-12-20,FAIL,Technical Error
 TXN39248 ,CUST3683,Velachery ,Chennai,Transfer,7709.63,2024-08-18,success,
 TXN79470 ,CUST4962,Velachery ,Chennai,Transfer,24891.51,2024-10-27,Pending,
 TXN83448 ,CUST3926,Velachery ,Chennai,Withdrawal,87745.37,2024-06-28,success,
 TXN22459 ,CUST2421,Velachery ,Chennai,Withdrawal,40216.63,2024-08-24,Failed,Technical Error
