 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN78378 ,CUST6464,Andheri East ,Mumbai,Deposit,35818.48,2024-12-27,FAIL,Technical Error
 TXN71169 ,CUST9893,Andheri East ,Mumbai,Transfer,62887.35,2024-09-13,pending,
 TXN42721 ,CUST7377,Andheri East ,Mumbai,Deposit,10505.67,2025-05-05,success,
 TXN83184 ,CUST6390,Andheri East ,Mumbai,Transfer,33014.38,2024-09-02,pending,
 TXN30587 ,CUST8743,Andheri East ,Mumbai,Withdrawal,34765.84,2025-01-04,success,
 TXN14337 ,CUST1360,Andheri East ,Mumbai,Transfer,29301.9,2024-06-22,FAIL,Technical Error
 TXN16378 ,CUST7918,Andheri East ,Mumbai,Deposit,88313.33,2025-02-07,Success,
 TXN42599 ,CUST2632,Andheri East ,Mumbai,Deposit,65840.63,2024-09-24,Pending,
 TXN82205 ,CUST7701,Andheri East ,Mumbai,Transfer,31800.66,2024-06-01,Pending,
 TXN98815 ,CUST6869,Andheri East ,Mumbai,Deposit,34252.62,2024-07-26,Failed,Account Closed
 TXN34435 ,CUST3014,Andheri East ,Mumbai,Deposit,75687.31,2024-10-24,Success,
 TXN16460 ,CUST6585,Andheri East ,Mumbai,Withdrawal,17130.64,2024-08-01,pending,
 TXN37824 ,CUST9046,Andheri East ,Mumbai,Withdrawal,58508.84,2024-05-09,Pending,
 TXN11450 ,CUST2424,Andheri East ,Mumbai,Withdrawal,38318.54,2024-12-21,Pending,
 TXN62553 ,CUST2433,Andheri East ,Mumbai,Transfer,17236.68,2024-07-07,FAIL,Limit Exceeded
 TXN52017 ,CUST7815,Andheri East ,Mumbai,Deposit,47536.44,2024-06-18,Failed,Account Closed
 TXN11073 ,CUST8332,Andheri East ,Mumbai,Deposit,92729.01,2024-12-13,pending,
 TXN26271 ,CUST9615,Andheri East ,Mumbai,Deposit,2012.37,2024-12-17,pending,
 TXN37362 ,CUST1558,Andheri East ,Mumbai,Transfer,206.0,2024-05-27,Pending,
 TXN45762 ,CUST7980,Andheri East ,Mumbai,Transfer,29927.56,2025-01-21,Failed,Account Closed
 TXN41574 ,CUST2151,Andheri East ,Mumbai,Deposit,7031.77,2025-01-11,success,
 TXN25340 ,CUST5723,Andheri East ,Mumbai,Deposit,53090.85,2025-02-19,success,
 TXN89572 ,CUST8727,Andheri East ,Mumbai,Transfer,76488.54,2025-02-17,success,
 TXN90948 ,CUST2882,Andheri East ,Mumbai,Withdrawal,96757.27,2024-12-27,pending,
 TXN52849 ,CUST6864,Andheri East ,Mumbai,Deposit,98014.38,2024-12-13,Pending,
 TXN62504 ,CUST1987,Andheri East ,Mumbai,Transfer,10144.99,2024-10-21,Pending,
 TXN78905 ,CUST9471,Andheri East ,Mumbai,Withdrawal,42638.74,2024-07-16,Pending,
 TXN79032 ,CUST3381,Andheri East ,Mumbai,Deposit,13493.05,2024-05-22,Failed,Account Closed
 TXN38322 ,CUST3399,Andheri East ,Mumbai,Transfer,96671.87,2024-11-24,Pending,
 TXN44576 ,CUST7879,Andheri East ,Mumbai,Deposit,66136.99,2024-08-13,Success,
 TXN89973 ,CUST3094,Andheri East ,Mumbai,Transfer,76117.24,2024-12-15,pending,
 TXN77215 ,CUST5205,Andheri East ,Mumbai,Withdrawal,5224.91,2025-03-04,FAIL,Limit Exceeded
 TXN57039 ,CUST8908,Andheri East ,Mumbai,Withdrawal,94122.54,2024-10-22,success,
 TXN80749 ,CUST2370,Andheri East ,Mumbai,Transfer,68170.72,2025-05-03,success,
 TXN66797 ,CUST2895,Andheri East ,Mumbai,Deposit,22441.14,2024-06-28,pending,
 TXN15979 ,CUST9472,Andheri East ,Mumbai,Deposit,97460.57,2024-12-12,Failed,Technical Error
 TXN97520 ,CUST7771,Andheri East ,Mumbai,Transfer,18838.99,2024-10-10,Pending,
 TXN13392 ,CUST3801,Andheri East ,Mumbai,Transfer,39350.4,2025-03-03,FAIL,Account Closed
 TXN81177 ,CUST4680,Andheri East ,Mumbai,Deposit,76814.24,2024-09-04,pending,
 TXN10020 ,CUST4436,Andheri East ,Mumbai,Deposit,3747.85,2024-06-12,Success,
 TXN20101 ,CUST2321,Andheri East ,Mumbai,Withdrawal,5671.57,2025-03-05,FAIL,Account Closed
 TXN45375 ,CUST2880,Andheri East ,Mumbai,Transfer,14985.49,2025-04-15,FAIL,Network Issue
 TXN94927 ,CUST1025,Andheri East ,Mumbai,Deposit,65314.22,2024-10-23,Pending,
 TXN95307 ,CUST4498,Andheri East ,Mumbai,Withdrawal,24131.64,2024-10-23,success,
