 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN37459 ,CUST7352,Bandra ,Mumbai,Withdrawal,20535.98,2025-03-26,Failed,Limit Exceeded
 TXN55900 ,CUST9919,Bandra ,Mumbai,Transfer,55086.54,2024-08-09,success,
 TXN77258 ,CUST2646,Bandra ,Mumbai,Transfer,63835.63,2025-05-06,success,
 TXN32664 ,CUST2327,Bandra ,Mumbai,Deposit,27589.14,2025-01-27,Failed,Insufficient Funds
 TXN80984 ,CUST7224,Bandra ,Mumbai,Transfer,79900.75,2025-04-29,Success,
 TXN24017 ,CUST3551,Bandra ,Mumbai,Transfer,24288.08,2024-05-08,Failed,Technical Error
 TXN61032 ,CUST8803,Bandra ,Mumbai,Deposit,56414.84,2024-11-23,Pending,
 TXN29446 ,CUST2364,Bandra ,Mumbai,Withdrawal,79429.82,2025-04-04,Failed,Account Closed
 TXN38716 ,CUST7599,Bandra ,Mumbai,Deposit,58744.62,2024-05-13,success,
 TXN90198 ,CUST7678,Bandra ,Mumbai,Deposit,96324.84,2024-05-29,pending,
 TXN70191 ,CUST8573,Bandra ,Mumbai,Transfer,25715.36,2024-05-09,Failed,Insufficient Funds
 TXN59116 ,CUST3972,Bandra ,Mumbai,Withdrawal,95798.31,2024-07-01,Pending,
 TXN41709 ,CUST4968,Bandra ,Mumbai,Transfer,50930.37,2024-07-07,pending,
 TXN49134 ,CUST3997,Bandra ,Mumbai,Deposit,11163.42,2025-04-20,pending,
 TXN13827 ,CUST6428,Bandra ,Mumbai,Deposit,38669.22,2025-01-23,Pending,
 TXN72485 ,CUST4421,Bandra ,Mumbai,Deposit,72952.69,2024-12-16,FAIL,Technical Error
 TXN86517 ,CUST7458,Bandra ,Mumbai,Deposit,91509.99,2024-11-07,pending,
 TXN80634 ,CUST8495,Bandra ,Mumbai,Deposit,56940.99,2024-07-12,FAIL,Limit Exceeded
 TXN84861 ,CUST4641,Bandra ,Mumbai,Deposit,50536.08,2024-07-31,success,
 TXN17861 ,CUST3197,Bandra ,Mumbai,Transfer,31368.88,2024-07-03,Failed,Network Issue
 TXN69413 ,CUST2597,Bandra ,Mumbai,Deposit,33836.15,2025-04-19,Success,
