 TransactionID ,CustomerID, BranchName,City ,TransactionType,Amount ,Date,Status,FailureReason
 TXN51369 ,CUST5357,Borivali ,Mumbai,Transfer,47892.65,2024-05-16,success,
 TXN53698 ,CUST9980,Borivali ,Mumbai,Deposit,4897.88,2025-03-30,Failed,Technical Error
 TXN33000 ,CUST9083,Borivali ,Mumbai,Transfer,72057.11,2025-01-18,Failed,Insufficient Funds
 TXN59256 ,CUST6278,Borivali ,Mumbai,Transfer,30858.78,2025-03-01,Pending,
 TXN48844 ,CUST4654,Borivali ,Mumbai,Deposit,96805.84,2025-04-10,pending,
 TXN69409 ,CUST2225,Borivali ,Mumbai,Transfer,39961.33,2025-03-04,Success,
 TXN70388 ,CUST8047,Borivali ,Mumbai,Withdrawal,10686.29,2024-08-15,success,
 TXN77172 ,CUST5953,Borivali ,Mumbai,Withdrawal,78690.21,2024-10-18,Pending,
 TXN53135 ,CUST4465,Borivali ,Mumbai,Deposit,94114.64,2024-11-26,Success,
 TXN81484 ,CUST1528,Borivali ,Mumbai,Transfer,86392.24,2024-11-27,Pending,
 TXN61504 ,CUST8769,Borivali ,Mumbai,Deposit,60104.19,2024-07-04,FAIL,Network Issue
 TXN81385 ,CUST5139,Borivali ,Mumbai,Deposit,7743.9,2025-03-08,Pending,
 TXN58318 ,CUST2212,Borivali ,Mumbai,Withdrawal,33823.36,2025-04-24,Pending,
 TXN20158 ,CUST6739,Borivali ,Mumbai,Transfer,3465.11,2025-03-07,success,
 TXN35809 ,CUST9920,Borivali ,Mumbai,Withdrawal,65413.63,2025-01-17,pending,
 TXN80244 ,CUST5129,Borivali ,Mumbai,Withdrawal,45703.51,2024-12-14,Success,
 TXN11908 ,CUST1322,Borivali ,Mumbai,Withdrawal,41998.82,2024-07-10,Failed,Account Closed
 TXN12251 ,CUST7454,Borivali ,Mumbai,Withdrawal,21555.46,2024-06-25,success,
 TXN21539 ,CUST7331,Borivali ,Mumbai,Withdrawal,11454.09,2024-06-12,Pending,
 TXN31364 ,CUST9857,Borivali ,Mumbai,Transfer,47028.33,2024-09-29,Pending,
 TXN72880 ,CUST3512,Borivali ,Mumbai,Transfer,86556.27,2025-03-17,Failed,Account Closed
 TXN63397 ,CUST6954,Borivali ,Mumbai,Transfer,49696.11,2024-07-15,success,
 TXN78147 ,CUST9106,Borivali ,Mumbai,Deposit,78356.12,2024-08-01,pending,
 TXN48767 ,CUST6406,Borivali ,Mumbai,Transfer,16292.52,2024-11-19,Failed,Insufficient Funds
 TXN88938 ,CUST2547,Borivali ,Mumbai,Deposit,25866.51,2024-12-21,Success,
 TXN20754 ,CUST5318,Borivali ,Mumbai,Transfer,2215.02,2024-06-26,Pending,
 TXN59565 ,CUST3717,Borivali ,Mumbai,Withdrawal,64112.98,2024-05-14,FAIL,Limit Exceeded
 TXN21742 ,CUST2704,Borivali ,Mumbai,Transfer,75173.8,2025-01-29,success,
 TXN20949 ,CUST7017,Borivali ,Mumbai,Deposit,78374.05,2024-12-09,pending,
 TXN67390 ,CUST6613,Borivali ,Mumbai,Transfer,54146.32,2024-06-29,Success,
 TXN91360 ,CUST4229,Borivali ,Mumbai,Transfer,44757.11,2024-05-08,FAIL,Technical Error
 TXN21966 ,CUST1466,Borivali ,Mumbai,Withdrawal,94942.3,2024-07-09,Failed,Insufficient Funds
 TXN34532 ,CUST2991,Borivali ,Mumbai,Deposit,53549.02,2025-01-27,Success,
 TXN81780 ,CUST6526,Borivali ,Mumbai,Transfer,94450.22,2024-05-24,FAIL,Network Issue
 TXN89007 ,CUST8639,Borivali ,Mumbai,Transfer,11865.74,2025-04-06,Failed,Technical Error
 TXN26200 ,CUST9449,Borivali ,Mumbai,Transfer,27956.04,2024-07-23,FAIL,Account Closed
 TXN13404 ,CUST7500,Borivali ,Mumbai,Withdrawal,95691.21,2024-10-02,Success,
 TXN83823 ,CUST7032,Borivali ,Mumbai,Transfer,119.82,2025-04-05,FAIL,Limit Exceeded
 TXN47943 ,CUST5167,Borivali ,Mumbai,Deposit,81918.62,2024-09-10,Failed,Network Issue
 TXN87813 ,CUST9836,Borivali ,Mumbai,Deposit,46052.58,2024-10-06,success,
 TXN92797 ,CUST3205,Borivali ,Mumbai,Transfer,46591.33,2024-09-01,FAIL,Limit Exceeded
 TXN62067 ,CUST8990,Borivali ,Mumbai,Withdrawal,66095.78,2024-10-01,Pending,
 TXN48279 ,CUST2499,Borivali ,Mumbai,Deposit,95850.76,2024-12-05,pending,
 TXN94708 ,CUST7417,Borivali ,Mumbai,Deposit,27245.79,2024-08-12,pending,
 TXN51342 ,CUST3510,Borivali ,Mumbai,Deposit,37202.31,2024-07-03,Pending,
 TXN81241 ,CUST2759,Borivali ,Mumbai,Transfer,62932.16,2024-06-04,FAIL,Technical Error
 TXN16524 ,CUST1117,Borivali ,Mumbai,Withdrawal,96586.97,2024-07-22,success,
 TXN42759 ,CUST2424,Borivali ,Mumbai,Deposit,39816.83,2025-03-07,success,
 TXN32110 ,CUST3386,Borivali ,Mumbai,Withdrawal,33654.19,2024-09-06,Failed,Account Closed
 TXN76554 ,CUST1695,Borivali ,Mumbai,Withdrawal,33737.32,2024-10-17,FAIL,Network Issue
 TXN46988 ,CUST6667,Borivali ,Mumbai,Transfer,78120.58,2025-01-23,Failed,Technical Error
 TXN77136 ,CUST5941,Borivali ,Mumbai,Withdrawal,47739.86,2024-11-04,success,
 TXN37948 ,CUST7948,Borivali ,Mumbai,Withdrawal,22480.2,2025-02-04,FAIL,Technical Error
